Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Element,Target,mass_frac
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,Ac,Ac,0.904396263666
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,Ac,O,0.0956037363341
Aluminum oxide (Y),Activated alumina,Al2O3,1344-28-1,101.961,soft wh pow,trans corundum 1200,,3.97,,Al,Al,0.529250698715
Aluminum oxide (Y),Activated alumina,Al2O3,1344-28-1,101.961,soft wh pow,trans corundum 1200,,3.97,,Al,O,0.470749301285
Americium(IV) oxide,,AmO2,12005-67-3,275.0,blk cub cry,>1000 dec,,11.68,,Am,Am,0.8836661938
Americium(IV) oxide,,AmO2,12005-67-3,275.0,blk cub cry,>1000 dec,,11.68,,Am,O,0.1163338062
Antimony(III) oxide (senarmontite),Senarmontite,Sb2O3,1309-64-4,291.518,col cub cry,570 trans,1425,5.58,,Sb,O,0.164649068223
Antimony(III) oxide (senarmontite),Senarmontite,Sb2O3,1309-64-4,291.518,col cub cry,570 trans,1425,5.58,,Sb,Sb,0.835350931777
Arsenic(III) oxide (arsenolite),Arsenic trioxide,As2O3,1327-53-3,197.841,wh cub cry,274,460,3.86,2.0525,As,As,0.757390515837
Arsenic(III) oxide (arsenolite),Arsenic trioxide,As2O3,1327-53-3,197.841,wh cub cry,274,460,3.86,2.0525,As,O,0.242609484163
Barium oxide,Barium monoxide,BaO,1304-28-5,153.326,wh-yel powder; cub and hex,1973,,5.72,1.52,Ba,Ba,0.895651368584
Barium oxide,Barium monoxide,BaO,1304-28-5,153.326,wh-yel powder; cub and hex,1973,,5.72,1.52,Ba,O,0.104348631416
Beryllium oxide,Beryllia,BeO,1304-56-9,25.011,wh hex cry,2578,,3.01,,Be,Be,0.360320350788
Beryllium oxide,Beryllia,BeO,1304-56-9,25.011,wh hex cry,2578,,3.01,,Be,O,0.639679649212
Cadmium oxide,,CdO,1306-19-0,128.41,brn cub cry,,1559 sp,8.15,,Cd,Cd,0.875404172871
Cadmium oxide,,CdO,1306-19-0,128.41,brn cub cry,,1559 sp,8.15,,Cd,O,0.124595827129
Calcium oxide,Lime,CaO,1305-78-8,56.077,gray-wh cub cry,2613,,3.34,,Ca,Ca,0.71469076669
Calcium oxide,Lime,CaO,1305-78-8,56.077,gray-wh cub cry,2613,,3.34,,Ca,O,0.28530923331
Bismuth oxide,Bismite,Bi2O3,1304-76-3,465.959,yel monocl cry or powder,825,1890,8.9,,Bi,Bi,0.896990507749
Bismuth oxide,Bismite,Bi2O3,1304-76-3,465.959,yel monocl cry or powder,825,1890,8.9,,Bi,O,0.103009492251
Boron oxide,Boric oxide,B2O3,1303-86-2,69.62,col gl or hex cry; hyg,450,,2.55,2.22,B,B,0.310570782618
Boron oxide,Boric oxide,B2O3,1303-86-2,69.62,col gl or hex cry; hyg,450,,2.55,2.22,B,O,0.689429217382
Cerium(III) oxide,Cerous oxide,Ce2O3,1345-13-7,328.23,yel-grn cub cry,2210,3730,6.2,,Ce,Ce,0.853766655232
Cerium(III) oxide,Cerous oxide,Ce2O3,1345-13-7,328.23,yel-grn cub cry,2210,3730,6.2,,Ce,O,0.146233344768
Cesium trioxide,,Cs2O3,12134-22-4,313.809,brn cry,≈400,,4.25,,Cs,Cs,0.847046502416
Cesium trioxide,,Cs2O3,12134-22-4,313.809,brn cry,≈400,,4.25,,Cs,O,0.152953497584
Chromium(III) oxide,Chromic oxide,Cr2O3,1308-38-9,151.99,grn hex cry,2320,≈3000,5.22,,Cr,Cr,0.684202423311
Chromium(III) oxide,Chromic oxide,Cr2O3,1308-38-9,151.99,grn hex cry,2320,≈3000,5.22,,Cr,O,0.315797576689
Cobalt(III) oxide,Cobalt black,Co2O3,1308-04-9,165.864,gray-blk powder,895 dec,,5.18,,Co,Co,0.710618161477
Cobalt(III) oxide,Cobalt black,Co2O3,1308-04-9,165.864,gray-blk powder,895 dec,,5.18,,Co,O,0.289381838523
Copper(II) oxide,Tenorite,CuO,1317-38-0,79.545,blk powder or monocl cry,1227,,6.31,,Cu,Cu,0.798864547793
Copper(II) oxide,Tenorite,CuO,1317-38-0,79.545,blk powder or monocl cry,1227,,6.31,,Cu,O,0.201135452207
Dibromine trioxide,Bromine trioxide,Br2O3,53809-75-9,207.806,oran needles (LT),dec -40,,,,Br,Br,0.769024215832
Dibromine trioxide,Bromine trioxide,Br2O3,53809-75-9,207.806,oran needles (LT),dec -40,,,,Br,O,0.230975784168
Dichlorine trioxide,Chlorine trioxide,Cl2O3,17496-59-2,118.904,dark brn solid,exp <25,,,,Cl,Cl,0.596328809243
Dichlorine trioxide,Chlorine trioxide,Cl2O3,17496-59-2,118.904,dark brn solid,exp <25,,,,Cl,O,0.403671190757
Gallium(III) oxide,,Ga2O3,12024-21-4,187.444,wh cry,1807,,6.0,,Ga,Ga,0.743933394578
Gallium(III) oxide,,Ga2O3,12024-21-4,187.444,wh cry,1807,,6.0,,Ga,O,0.256066605422
Germanium(II) oxide,Germanium monoxide,GeO,20619-16-3,88.64,blk solid,700 dec,,,,Ge,Ge,0.819500131995
Germanium(II) oxide,Germanium monoxide,GeO,20619-16-3,88.64,blk solid,700 dec,,,,Ge,O,0.180499868005
Gold(III) oxide,Auric oxide,Au2O3,1303-58-8,441.931,brn powder,≈150 dec,,,,Au,Au,0.891389915417
Gold(III) oxide,Auric oxide,Au2O3,1303-58-8,441.931,brn powder,≈150 dec,,,,Au,O,0.108610084583
Dysprosium(III) oxide,Dysprosia,Dy2O3,1308-87-8,372.998,wh cub cry,2228,3900,7.81,,Dy,Dy,0.871317877673
Dysprosium(III) oxide,Dysprosia,Dy2O3,1308-87-8,372.998,wh cub cry,2228,3900,7.81,,Dy,O,0.128682122327
Erbium oxide,Erbia,Er2O3,12061-16-4,382.516,pink powder,2344,3920,8.64,,Er,Er,0.874519824258
Erbium oxide,Erbia,Er2O3,12061-16-4,382.516,pink powder,2344,3920,8.64,,Er,O,0.125480175742
Europium(III) oxide,Europia,Eu2O3,1308-96-9,351.926,pink powder,2291,3790,7.42,,Eu,Eu,0.863612882474
Europium(III) oxide,Europia,Eu2O3,1308-96-9,351.926,pink powder,2291,3790,7.42,,Eu,O,0.136387117526
Gadolinium(III) oxide,Gadolinia,Gd2O3,12064-62-9,362.5,wh hyg powder,2339,3900,7.07,,Gd,Gd,0.867590514932
Gadolinium(III) oxide,Gadolinia,Gd2O3,12064-62-9,362.5,wh hyg powder,2339,3900,7.07,,Gd,O,0.132409485068
Iron(III) oxide,Hematite,Fe2O3,1309-37-1,159.688,red-brn hex cry,1539,,5.25,,Fe,Fe,0.699425505454
Iron(III) oxide,Hematite,Fe2O3,1309-37-1,159.688,red-brn hex cry,1539,,5.25,,Fe,O,0.300574494546
Hafnium(IV) oxide,Hafnia,HfO2,12055-23-1,210.49,wh cub cry,2800,≈5400,9.68,,Hf,Hf,0.847978609788
Hafnium(IV) oxide,Hafnia,HfO2,12055-23-1,210.49,wh cub cry,2800,≈5400,9.68,,Hf,O,0.152021390212
Holmium oxide,Holmia,Ho2O3,12055-62-8,377.859,yel cub cry,2330,3900,8.41,,Ho,Ho,0.872973198139
Holmium oxide,Holmia,Ho2O3,12055-62-8,377.859,yel cub cry,2330,3900,8.41,,Ho,O,0.127026801861
Indium(III) oxide,Indium sesquioxide,In2O3,1312-43-2,277.634,yel cub cry,1912,,7.18,,In,In,0.827117120297
Indium(III) oxide,Indium sesquioxide,In2O3,1312-43-2,277.634,yel cub cry,1912,,7.18,,In,O,0.172882879703
Iodine pentoxide,Diiodine pentoxide,I2O5,12029-98-0,333.806,hyg wh cry,≈300 dec,,4.98,253.42,I,I,0.760348782289
Iodine pentoxide,Diiodine pentoxide,I2O5,12029-98-0,333.806,hyg wh cry,≈300 dec,,4.98,253.42,I,O,0.239651217711
Iridium(III) oxide,Iridium trioxide,Ir2O3,1312-46-5,432.432,blue-blk cry,1000 dec,,,,Ir,Ir,0.88900410284
Iridium(III) oxide,Iridium trioxide,Ir2O3,1312-46-5,432.432,blue-blk cry,1000 dec,,,,Ir,O,0.11099589716
Lanthanum oxide,,La2O3,1312-81-8,325.809,wh amorp powder,2304,3620,6.51,,La,La,0.852680007688
Lanthanum oxide,,La2O3,1312-81-8,325.809,wh amorp powder,2304,3620,6.51,,La,O,0.147319992312
"Lead(II,IV) oxide",Lead sesquioxide,Pb2O3,1314-27-8,462.4,blk monocl cry or red amorp powder,530 dec,,10.05,,Pb,O,0.103802739717
"Lead(II,IV) oxide",Lead sesquioxide,Pb2O3,1314-27-8,462.4,blk monocl cry or red amorp powder,530 dec,,10.05,,Pb,Pb,0.896197260283
Lithium oxide,Lithia,Li2O,12057-24-8,29.881,wh cub cry,1437,,2.013,,Li,Li,0.464569933136
Lithium oxide,Lithia,Li2O,12057-24-8,29.881,wh cub cry,1437,,2.013,,Li,O,0.535430066864
Magnesium oxide,Magnesia,MgO,1309-48-4,40.304,wh cub cry,2825,3600,3.6,,Mg,Mg,0.603035896825
Magnesium oxide,Magnesia,MgO,1309-48-4,40.304,wh cub cry,2825,3600,3.6,,Mg,O,0.396964103175
Manganese(III) oxide,Manganese trioxide,Mn2O3,1317-34-6,157.874,blk cub cry,1080 dec,,5.0,,Mn,Mn,0.695972029391
Manganese(III) oxide,Manganese trioxide,Mn2O3,1317-34-6,157.874,blk cub cry,1080 dec,,5.0,,Mn,O,0.304027970609
Mercury(II) oxide,Mercuric oxide,HgO,21908-53-2,216.59,red or yel orth cry,500 dec,,11.14,,Hg,Hg,0.926130272303
Mercury(II) oxide,Mercuric oxide,HgO,21908-53-2,216.59,red or yel orth cry,500 dec,,11.14,,Hg,O,0.0738697276967
Lutetium oxide,,Lu2O3,12032-20-1,397.932,wh cub cry or powder,2427,3980,9.41,,Lu,Lu,0.879380959872
Lutetium oxide,,Lu2O3,12032-20-1,397.932,wh cub cry or powder,2427,3980,9.41,,Lu,O,0.120619040128
Molybdenum(IV) oxide,Molybdenum dioxide,MoO2,18868-43-4,127.94,brn-viol tetr cry,≈1800 dec,,6.47,,Mo,Mo,0.749889791056
Molybdenum(IV) oxide,Molybdenum dioxide,MoO2,18868-43-4,127.94,brn-viol tetr cry,≈1800 dec,,6.47,,Mo,O,0.250110208944
Neodymium(III) oxide,Neodymia,Nd2O3,1313-97-9,336.482,blue hex cry; hyg,2233,3760,7.24,,Nd,Nd,0.857352929813
Neodymium(III) oxide,Neodymia,Nd2O3,1313-97-9,336.482,blue hex cry; hyg,2233,3760,7.24,,Nd,O,0.142647070187
Neptunium(IV) oxide,Neptunium dioxide,NpO2,12035-79-9,269.0,grn cub cry,2547,,11.1,,Np,Np,0.881066133427
Neptunium(IV) oxide,Neptunium dioxide,NpO2,12035-79-9,269.0,grn cub cry,2547,,11.1,,Np,O,0.118933866573
Nickel(II) oxide,Bunsenite,NiO,1313-99-1,74.692,grn cub cry,1957,,6.72,,Ni,Ni,0.785797292376
Nickel(II) oxide,Bunsenite,NiO,1313-99-1,74.692,grn cub cry,1957,,6.72,,Ni,O,0.214202707624
Niobium(V) oxide,Niobium pentoxide,Nb2O5,1313-96-8,265.81,wh orth cry,1500,,4.47,,Nb,Nb,0.699044158499
Niobium(V) oxide,Niobium pentoxide,Nb2O5,1313-96-8,265.81,wh orth cry,1500,,4.47,,Nb,O,0.300955841501
Nitrogen pentoxide,Dinitrogen pentoxide,N2O5,10102-03-1,108.01,col hex cry,,33 sp,2.0,,N,N,0.259358358084
Nitrogen pentoxide,Dinitrogen pentoxide,N2O5,10102-03-1,108.01,col hex cry,,33 sp,2.0,,N,O,0.740641641916
Osmium(VIII) oxide,Osmic acid,OsO4,20816-12-0,254.23,yel monocl cry,40.6,131.2,5.1,6.442,Os,O,0.251733486057
Osmium(VIII) oxide,Osmic acid,OsO4,20816-12-0,254.23,yel monocl cry,40.6,131.2,5.1,6.442,Os,Os,0.748266513943
Palladium(II) oxide,Palladium monoxide,PdO,1314-08-5,122.42,grn-blk tetr cry,750 dec,,8.3,,Pd,O,0.130693337821
Palladium(II) oxide,Palladium monoxide,PdO,1314-08-5,122.42,grn-blk tetr cry,750 dec,,8.3,,Pd,Pd,0.869306662179
Phosphorus(V) oxide,Phosphorus pentoxide,P2O5,1314-56-3,141.945,wh orth cry; hyg,562,605,2.3,,P,O,0.56357933188
Phosphorus(V) oxide,Phosphorus pentoxide,P2O5,1314-56-3,141.945,wh orth cry; hyg,562,605,2.3,,P,P,0.43642066812
Platinum(II) oxide,Platinum monoxide,PtO,12035-82-4,211.083,blk tetr cry,325 dec,,14.1,,Pt,O,0.0757965808775
Platinum(II) oxide,Platinum monoxide,PtO,12035-82-4,211.083,blk tetr cry,325 dec,,14.1,,Pt,Pt,0.924203419122
Plutonium(III) oxide,Plutonium sesquioxide,Pu2O3,12036-34-9,536.0,blk cub cry,2085,,10.5,,Pu,O,0.0895277346806
Plutonium(III) oxide,Plutonium sesquioxide,Pu2O3,12036-34-9,536.0,blk cub cry,2085,,10.5,,Pu,Pu,0.910472265319
Polonium(IV) oxide,Polonium dioxide,PoO2,7446-06-2,241.0,yel cub cry,500 dec,,8.9,,Po,O,0.132785462102
Polonium(IV) oxide,Polonium dioxide,PoO2,7446-06-2,241.0,yel cub cry,500 dec,,8.9,,Po,Po,0.867214537898
Potassium oxide,Potassium monoxide,K2O,12136-45-7,94.196,gray cub cry,740,,2.35,,K,K,0.830147776976
Potassium oxide,Potassium monoxide,K2O,12136-45-7,94.196,gray cub cry,740,,2.35,,K,O,0.169852223024
Rubidium oxide,Rubidium monoxide,Rb2O,18088-11-4,186.935,yel-brn cub cry; hyg,400 dec,,4.0,,Rb,O,0.0855880386231
Rubidium oxide,Rubidium monoxide,Rb2O,18088-11-4,186.935,yel-brn cub cry; hyg,400 dec,,4.0,,Rb,Rb,0.914411961377
Ruthenium(VIII) oxide,Ruthenium tetroxide,RuO4,20427-56-9,165.07,yel monocl prisms,25.4,40,3.29,2.032,Ru,O,0.387705400696
Ruthenium(VIII) oxide,Ruthenium tetroxide,RuO4,20427-56-9,165.07,yel monocl prisms,25.4,40,3.29,2.032,Ru,Ru,0.612294599304
Samarium(III) oxide,Samaria,Sm2O3,12060-58-1,348.72,yel-wh cub cry,2269,3780,7.6,,Sm,O,0.137641797876
Samarium(III) oxide,Samaria,Sm2O3,12060-58-1,348.72,yel-wh cub cry,2269,3780,7.6,,Sm,Sm,0.862358202124
Praseodymium(III) oxide,,Pr2O3,12036-32-7,329.813,wh hex cry,2183,3760,6.9,,Pr,O,0.145531338165
Praseodymium(III) oxide,,Pr2O3,12036-32-7,329.813,wh hex cry,2183,3760,6.9,,Pr,Pr,0.854468661835
Rhenium(V) oxide,Rhenium pentoxide,Re2O5,12165-05-8,452.411,blue-blk tetr cry,,,7.0,,Re,O,0.176823728866
Rhenium(V) oxide,Rhenium pentoxide,Re2O5,12165-05-8,452.411,blue-blk tetr cry,,,7.0,,Re,Re,0.823176271134
Rhodium(III) oxide,Rhodium trioxide,Rh2O3,12036-35-0,253.809,gray hex cry,1100 dec,,8.2,,Rh,O,0.18911134821
Rhodium(III) oxide,Rhodium trioxide,Rh2O3,12036-35-0,253.809,gray hex cry,1100 dec,,8.2,,Rh,Rh,0.81088865179
Scandium oxide,Scandia,Sc2O3,12060-08-1,137.91,wh cub cry,2489,,3.864,,Sc,O,0.348039965536
Scandium oxide,Scandia,Sc2O3,12060-08-1,137.91,wh cub cry,2489,,3.864,,Sc,Sc,0.651960034464
Selenium dioxide,Selenium(IV) oxide,SeO2,7446-08-4,110.96,wh tetr needles or powder,340 tp,315 sp,3.95,26422.0,Se,O,0.288384517497
Selenium dioxide,Selenium(IV) oxide,SeO2,7446-08-4,110.96,wh tetr needles or powder,340 tp,315 sp,3.95,26422.0,Se,Se,0.711615482503
Selenium trioxide,,SeO3,13768-86-0,126.96,wh tetr cry; hyg,118,subl,3.44,,Se,O,0.378063016016
Selenium trioxide,,SeO3,13768-86-0,126.96,wh tetr cry; hyg,118,subl,3.44,,Se,Se,0.621936983984
Silicon dioxide (vitreous),Fused silica,SiO2,60676-86-0,60.085,col amorp solid,1713,2950,2.196,,Si,O,0.532565079397
Silicon dioxide (vitreous),Fused silica,SiO2,60676-86-0,60.085,col amorp solid,1713,2950,2.196,,Si,Si,0.467434920603
Silver(II) oxide,,AgO,1301-96-8,123.867,gray powder; monocl or cub,>100 dec,,7.5,0.002725,Ag,Ag,0.870834665401
Silver(II) oxide,,AgO,1301-96-8,123.867,gray powder; monocl or cub,>100 dec,,7.5,0.002725,Ag,O,0.129165334599
Sodium oxide,Sodium monoxide,Na2O,1313-59-3,61.979,wh amorp powder,1134,,2.27,,Na,Na,0.741857470106
Sodium oxide,Sodium monoxide,Na2O,1313-59-3,61.979,wh amorp powder,1134,,2.27,,Na,O,0.258142529894
Strontium oxide,Strontia,SrO,1314-11-0,103.62,col cub cry,2531,,5.1,,Sr,O,0.154405449173
Strontium oxide,Strontia,SrO,1314-11-0,103.62,col cub cry,2531,,5.1,,Sr,Sr,0.845594550827
Lithium sulfate,,Li2SO4,10377-48-7,109.945,wh monocl cry; hyg,860,,2.21,34.225,S,Li,0.126263590936
Lithium sulfate,,Li2SO4,10377-48-7,109.945,wh monocl cry; hyg,860,,2.21,34.225,S,O,0.582089525088
Lithium sulfate,,Li2SO4,10377-48-7,109.945,wh monocl cry; hyg,860,,2.21,34.225,S,S,0.291646883976
Tantalum(V) oxide,Tantalum pentoxide,Ta2O5,1314-61-0,441.893,wh rhomb cry or powder,1875,,8.24,,Ta,O,0.181032610718
Tantalum(V) oxide,Tantalum pentoxide,Ta2O5,1314-61-0,441.893,wh rhomb cry or powder,1875,,8.24,,Ta,Ta,0.818967389282
Tellurium trioxide,,TeO3,13451-18-8,175.6,yel-oran cry,430,,5.07,,Te,O,0.273341070694
Tellurium trioxide,,TeO3,13451-18-8,175.6,yel-oran cry,430,,5.07,,Te,Te,0.726658929306
Terbium(III) oxide,Terbia,Tb2O3,12036-41-8,365.849,wh cub cry,2303,,7.91,,Tb,O,0.131196786433
Terbium(III) oxide,Terbia,Tb2O3,12036-41-8,365.849,wh cub cry,2303,,7.91,,Tb,Tb,0.868803213567
Thallium(III) oxide,Thallic oxide,Tl2O3,1314-32-5,456.765,brn cub cry,834,,10.2,,Tl,O,0.105082966113
Thallium(III) oxide,Thallic oxide,Tl2O3,1314-32-5,456.765,brn cub cry,834,,10.2,,Tl,Tl,0.894917033887
Thorium(IV) oxide,Thoria,ThO2,1314-20-1,264.037,wh cub cry,3350,4400,10.0,,Th,O,0.121190654971
Thorium(IV) oxide,Thoria,ThO2,1314-20-1,264.037,wh cub cry,3350,4400,10.0,,Th,Th,0.878809345029
Thulium(III) oxide,Thulia,Tm2O3,12036-44-1,385.866,grn-wh cub cry,2341,3945,8.6,,Tm,O,0.124390650842
Thulium(III) oxide,Thulia,Tm2O3,12036-44-1,385.866,grn-wh cub cry,2341,3945,8.6,,Tm,Tm,0.875609349158
Tin(IV) oxide,Cassiterite,SnO2,18282-10-5,150.709,gray tetr cry,1630,,6.85,,Sn,O,0.212322040916
Tin(IV) oxide,Cassiterite,SnO2,18282-10-5,150.709,gray tetr cry,1630,,6.85,,Sn,Sn,0.787677959084
Titanium(IV) oxide (rutile),Rutile,TiO2,1317-80-2,79.866,wh tetr cry,1843,≈3000,4.17,,Ti,O,0.400657102289
Titanium(IV) oxide (rutile),Rutile,TiO2,1317-80-2,79.866,wh tetr cry,1843,≈3000,4.17,,Ti,Ti,0.599342897711
Tungsten(IV) oxide,Tungsten dioxide,WO2,12036-22-5,215.84,brn monocl cry,≈1500 dec,1730,10.8,,W,O,0.148253233432
Tungsten(IV) oxide,Tungsten dioxide,WO2,12036-22-5,215.84,brn monocl cry,≈1500 dec,1730,10.8,,W,W,0.851746766568
Vanadium(III) oxide,Vanadium trioxide,V2O3,1314-34-7,149.881,blk powder,1957,≈3000,4.87,,V,O,0.320241631372
Vanadium(III) oxide,Vanadium trioxide,V2O3,1314-34-7,149.881,blk powder,1957,≈3000,4.87,,V,V,0.679758368628
Xenon trioxide,,XeO3,13776-58-4,179.291,col orth cry,exp ≈25,,4.55,,Xe,O,0.267710852513
Xenon trioxide,,XeO3,13776-58-4,179.291,col orth cry,exp ≈25,,4.55,,Xe,Xe,0.732289147487
Ytterbium(III) oxide,Ytterbia,Yb2O3,1314-37-0,394.08,col cub cry,2355,4070,9.2,,Yb,O,0.121798668386
Ytterbium(III) oxide,Ytterbia,Yb2O3,1314-37-0,394.08,col cub cry,2355,4070,9.2,,Yb,Yb,0.878201331614
Yttrium oxide,Yttria,Y2O3,1314-36-9,225.81,wh cry; cub,2439,,5.03,,Y,O,0.212560211045
Yttrium oxide,Yttria,Y2O3,1314-36-9,225.81,wh cry; cub,2439,,5.03,,Y,Y,0.787439788955
Zinc oxide,Zincite,ZnO,1314-13-2,81.408,wh powder; hex,1974,,5.6,,Zn,O,0.196532544553
Zinc oxide,Zincite,ZnO,1314-13-2,81.408,wh powder; hex,1974,,5.6,,Zn,Zn,0.803467455447
Uranium(IV) oxide,Uraninite,UO2,1344-57-6,270.028,brn cub cry,2847,,10.97,,U,O,0.118501912267
Uranium(IV) oxide,Uraninite,UO2,1344-57-6,270.028,brn cub cry,2847,,10.97,,U,U,0.881498087733
Zirconium(IV) oxide,Zirconia,ZrO2,1314-23-4,123.223,wh amorp powder,2710,4300,5.68,,Zr,O,0.259682461363
Zirconium(IV) oxide,Zirconia,ZrO2,1314-23-4,123.223,wh amorp powder,2710,4300,5.68,,Zr,Zr,0.740317538637
